S.No.,Country,2018-2019,%Share,2019-2020,%Share,%Growth
1,AFGHANISTAN,435.44,0.08,529.84,0.11,21.68
2,ALBANIA,22.62,0.00,47.51,0.01,110.07
3,ALGERIA,1696.96,0.33,1996.76,0.42,17.67
4,AMERI SAMOA,0.00,0.00,3.08,0.00,770050.00
5,ANDORRA,0.04,0.00,0.03,0.00,-13.07
6,ANGOLA,4027.49,0.78,3649.02,0.77,-9.40
7,ANGUILLA,0.19,0.00,0.10,0.00,-49.51
8,ANTARTICA,0.03,0.00,0.08,0.00,138.32
9,ANTIGUA,0.15,0.00,0.20,0.00,30.01
10,ARGENTINA,1954.99,0.38,2327.26,0.49,19.04
11,ARMENIA,0.91,0.00,1.56,0.00,71.56
12,ARUBA,0.55,0.00,0.30,0.00,-44.39
13,AUSTRALIA,13131.21,2.55,9782.22,2.06,-25.50
14,AUSTRIA,716.43,0.14,629.74,0.13,-12.10
15,AZERBAIJAN,147.87,0.03,273.91,0.06,85.23
16,BAHAMAS,39.21,0.01,14.70,0.00,-62.52
17,BAHARAIN IS,539.63,0.11,421.50,0.09,-21.89
18,BANGLADESH PR,1044.80,0.20,1264.74,0.27,21.05
19,BARBADOS,1.74,0.00,1.48,0.00,-15.09
20,BELARUS,227.19,0.04,147.44,0.03,-35.10
21,BELGIUM,10469.22,2.04,8879.46,1.87,-15.19
22,BELIZE,0.65,0.00,0.96,0.00,46.26
23,BENIN,375.81,0.07,358.94,0.08,-4.49
24,BERMUDA,7.69,0.00,0.00,0.00,0.00
25,BHUTAN,370.96,0.07,405.73,0.09,9.37
26,BOLIVIA,852.21,0.17,845.88,0.18,-0.74
27,BOSNIA-HRZGOVIN,2.45,0.00,3.33,0.00,35.49
28,BOTSWANA,974.48,0.19,744.00,0.16,-23.65
29,BR VIRGN IS,16.83,0.00,8.57,0.00,-49.08
30,BRAZIL,4406.43,0.86,3074.97,0.65,-30.22
31,BRUNEI,591.10,0.12,586.28,0.12,-0.82
32,BULGARIA,125.66,0.02,144.06,0.03,14.64
33,BURKINA FASO,881.27,0.17,542.67,0.11,-38.42
34,BURUNDI,4.55,0.00,3.83,0.00,-15.92
35,C AFRI REP,2.02,0.00,0.56,0.00,-72.15
36,CAMBODIA,42.63,0.01,46.69,0.01,9.53
37,CAMEROON,343.20,0.07,676.36,0.14,97.07
38,CANADA,3515.41,0.68,3880.33,0.82,10.38
39,CAPE VERDE IS,2.91,0.00,2.04,0.00,-29.71
40,CAYMAN IS,0.23,0.00,1.44,0.00,511.76
41,CHAD,476.13,0.09,270.75,0.06,-43.14
42,CHILE,1237.55,0.24,1175.67,0.25,-5.00
43,CHINA P RP,70319.64,13.68,65260.75,13.75,-7.19
44,CHRISTMAS IS.,0.00,0.00,0.01,0.00,0.00
45,COCOS IS,0.00,0.00,0.00,0.00,0.00
46,COLOMBIA,1054.98,0.21,810.95,0.17,-23.13
47,COMOROS,32.39,0.01,19.65,0.00,-39.34
48,CONGO D. REP.,19.01,0.00,32.13,0.01,68.96
49,CONGO P REP,405.65,0.08,587.50,0.12,44.83
50,COOK IS,0.02,0.00,0.00,0.00,0.00
51,COSTA RICA,50.56,0.01,48.71,0.01,-3.66
52,COTE D' IVOIRE,603.05,0.12,454.88,0.10,-24.57
53,CROATIA,38.92,0.01,57.18,0.01,46.91
54,CUBA,3.80,0.00,3.53,0.00,-7.10
55,CYPRUS,393.78,0.08,74.43,0.02,-81.10
56,CZECH REPUBLIC,258.84,0.05,299.42,0.06,15.68
57,DENMARK,537.30,0.10,632.40,0.13,17.70
58,DJIBOUTI,15.82,0.00,19.54,0.00,23.49
59,DOMINIC REP,566.57,0.11,361.11,0.08,-36.26
60,DOMINICA,0.31,0.00,0.25,0.00,-20.24
61,ECUADOR,219.25,0.04,361.60,0.08,64.92
62,EGYPT A RP,1677.82,0.33,2031.38,0.43,21.07
63,EL SALVADOR,4.20,0.00,3.20,0.00,-23.66
64,EQUTL GUINEA,634.12,0.12,972.88,0.20,53.42
65,ERITREA,0.00,0.00,0.00,0.00,0.00
66,ESTONIA,108.21,0.02,54.06,0.01,-50.04
67,ETHIOPIA,55.01,0.01,98.55,0.02,79.16
68,FALKLAND IS,0.00,0.00,0.03,0.00,0.00
69,FAROE IS.,0.03,0.00,0.00,0.00,0.00
70,FIJI IS,0.71,0.00,0.57,0.00,-19.45
71,FINLAND,1124.08,0.22,625.65,0.13,-44.34
72,FR GUIANA,1.82,0.00,2.90,0.00,59.42
73,FR POLYNESIA,0.01,0.00,0.05,0.00,439.00
74,FRANCE,6665.67,1.30,6168.82,1.30,-7.45
75,GABON,456.01,0.09,138.40,0.03,-69.65
76,GAMBIA,45.05,0.01,40.95,0.01,-9.10
77,GEORGIA,22.18,0.00,11.40,0.00,-48.62
78,GERMANY,15161.08,2.95,13691.11,2.88,-9.70
79,GHANA,3763.41,0.73,1773.55,0.37,-52.87
80,GIBRALTAR,0.03,0.00,1.01,0.00,3131.83
81,GREECE,144.02,0.03,123.71,0.03,-14.10
82,GRENADA,0.48,0.00,0.48,0.00,-0.02
83,GUADELOUPE,0.37,0.00,0.20,0.00,-46.23
84,GUAM,0.00,0.00,0.00,0.00,-36.00
85,GUATEMALA,16.27,0.00,22.95,0.00,41.00
86,GUINEA,414.26,0.08,416.30,0.09,0.49
87,GUINEA BISSAU,123.79,0.02,124.54,0.03,0.60
88,GUYANA,6.42,0.00,6.95,0.00,8.37
89,HAITI,13.75,0.00,13.94,0.00,1.36
90,HONDURAS,18.25,0.00,19.32,0.00,5.86
91,HONG KONG,17987.01,3.50,16935.32,3.57,-5.85
92,HUNGARY,241.15,0.05,187.68,0.04,-22.17
93,ICELAND,8.67,0.00,10.41,0.00,20.13
94,INDONESIA,15849.67,3.08,15061.87,3.17,-4.97
95,IRAN,13525.64,2.63,1397.33,0.29,-89.67
96,IRAQ,22372.47,4.35,23740.18,5.00,6.11
97,IRELAND,422.52,0.08,604.15,0.13,42.99
98,ISRAEL,1931.58,0.38,1592.70,0.34,-17.54
99,ITALY,5292.38,1.03,4490.92,0.95,-15.14
100,JAMAICA,5.01,0.00,2.96,0.00,-40.94
101,JAPAN,12772.67,2.48,12434.67,2.62,-2.65
102,JERSEY ,0.05,0.00,0.14,0.00,175.10
103,JORDAN,1116.25,0.22,1064.66,0.22,-4.62
104,KAZAKHSTAN,708.78,0.14,2255.70,0.48,218.25
105,KENYA,137.12,0.03,89.62,0.02,-34.64
106,KIRIBATI REP,0.22,0.00,0.00,0.00,0.00
107,KOREA DP RP,3.01,0.00,3.47,0.00,15.11
108,KOREA RP,16758.97,3.26,15659.70,3.30,-6.56
109,KUWAIT,7430.82,1.45,9573.80,2.02,28.84
110,KYRGHYZSTAN,2.59,0.00,1.33,0.00,-48.74
111,LAO PD RP,1.04,0.00,3.09,0.00,198.87
112,LATVIA,158.44,0.03,265.54,0.06,67.59
113,LEBANON,43.94,0.01,30.94,0.01,-29.59
114,LESOTHO,0.00,0.00,0.04,0.00,1940.91
115,LIBERIA,141.21,0.03,7.75,0.00,-94.51
116,LIBYA,146.16,0.03,43.09,0.01,-70.52
117,LIECHTENSTEIN,3.60,0.00,0.42,0.00,-88.43
118,LITHUANIA,212.13,0.04,262.09,0.06,23.55
119,LUXEMBOURG,131.90,0.03,54.35,0.01,-58.79
120,MACAO,6.29,0.00,5.09,0.00,-19.14
121,MACEDONIA,24.08,0.00,14.51,0.00,-39.73
122,MADAGASCAR,293.11,0.06,119.24,0.03,-59.32
123,MALAWI,22.80,0.00,31.76,0.01,39.29
124,MALAYSIA,10818.60,2.10,9782.28,2.06,-9.58
125,MALDIVES,20.41,0.00,6.00,0.00,-70.61
126,MALI,18.31,0.00,38.07,0.01,107.97
127,MALTA,43.76,0.01,121.90,0.03,178.55
128,MARSHALL ISLAND,0.51,0.00,3.61,0.00,603.78
129,MARTINIQUE,0.81,0.00,0.29,0.00,-64.22
130,MAURITANIA,15.77,0.00,10.70,0.00,-32.16
131,MAURITIUS,71.59,0.01,27.89,0.01,-61.04
132,MAYOTTE,0.19,0.00,0.36,0.00,91.26
133,MEXICO,5577.03,1.08,4296.80,0.91,-22.96
134,MOLDOVA,0.39,0.00,0.25,0.00,-34.77
135,MONACO,0.27,0.00,61.50,0.01,22395.83
136,MONGOLIA,1.01,0.00,1.30,0.00,28.29
137,MONTENEGRO,0.13,0.00,0.16,0.00,24.98
138,MONTSERRAT,0.06,0.00,0.00,0.00,0.00
139,MOROCCO,1326.69,0.26,952.54,0.20,-28.20
140,MOZAMBIQUE,1097.43,0.21,835.07,0.18,-23.91
141,MYANMAR,521.49,0.10,547.25,0.12,4.94
142,N. MARIANA IS.,0.02,0.00,0.00,0.00,-98.57
143,NAMIBIA,53.55,0.01,28.54,0.01,-46.69
144,NAURU RP,0.16,0.00,0.07,0.00,-57.79
145,NEPAL,508.14,0.10,711.61,0.15,40.04
146,NETHERLAND,4062.80,0.79,3390.97,0.71,-16.54
147,NETHERLANDANTIL,9.64,0.00,22.76,0.00,136.09
148,NEW CALEDONIA,0.21,0.00,0.23,0.00,8.27
149,NEW ZEALAND,630.78,0.12,521.83,0.11,-17.27
150,NICARAGUA,3.60,0.00,3.60,0.00,-0.24
151,NIGER,0.65,0.00,0.90,0.00,38.73
152,NIGERIA,10884.71,2.12,10213.61,2.15,-6.17
153,NORFOLK IS,0.14,0.00,0.45,0.00,208.17
154,NORWAY,366.47,0.07,630.79,0.13,72.12
155,OMAN,2759.00,0.54,3669.33,0.77,33.00
156,PAKISTAN IR,494.87,0.10,13.97,0.00,-97.18
157,PALAU,3.22,0.00,0.00,0.00,-99.89
158,PANAMA REPUBLIC,38.88,0.01,75.83,0.02,95.05
159,PAPUA N GNA,88.96,0.02,55.70,0.01,-37.39
160,PARAGUAY,20.97,0.00,25.28,0.01,20.52
161,PERU,2405.40,0.47,1575.09,0.33,-34.52
162,PHILIPPINES,581.10,0.11,523.83,0.11,-9.86
163,PITCAIRN IS.,0.03,0.00,0.02,0.00,-42.69
164,POLAND,793.39,0.15,849.58,0.18,7.08
165,PORTUGAL,132.83,0.03,141.82,0.03,6.77
166,PUERTO RICO,39.05,0.01,52.45,0.01,34.33
167,QATAR,10721.70,2.09,9685.98,2.04,-9.66
168,REUNION,18.16,0.00,18.52,0.00,2.01
169,ROMANIA,315.29,0.06,261.34,0.06,-17.11
170,RUSSIA,5840.44,1.14,7093.01,1.49,21.45
171,RWANDA,6.68,0.00,4.10,0.00,-38.56
172,SAMOA,2.75,0.00,3.00,0.00,9.12
173,SAN MARINO,0.21,0.00,0.15,0.00,-29.01
174,SAO TOME,0.01,0.00,0.00,0.00,0.00
175,SAUDI ARAB,28479.21,5.54,26857.37,5.66,-5.69
176,SENEGAL,658.99,0.13,469.47,0.10,-28.76
177,SERBIA,21.45,0.00,11.51,0.00,-46.36
178,SEYCHELLES,5.27,0.00,4.71,0.00,-10.74
179,SIERRA LEONE,11.73,0.00,24.49,0.01,108.86
180,SINGAPORE,16281.64,3.17,14746.78,3.11,-9.43
181,SLOVAK REP,57.42,0.01,54.84,0.01,-4.49
182,SLOVENIA,248.62,0.05,248.43,0.05,-0.07
183,SOLOMON IS,58.81,0.01,38.97,0.01,-33.74
184,SOMALIA,18.33,0.00,15.05,0.00,-17.90
185,SOUTH AFRICA,6517.33,1.27,6969.79,1.47,6.94
186,SOUTH SUDAN ,89.97,0.02,7.33,0.00,-91.86
187,SPAIN,1680.50,0.33,1613.17,0.34,-4.01
188,SRI LANKA DSR,1488.40,0.29,903.69,0.19,-39.28
189,ST HELENA,0.07,0.00,0.01,0.00,-79.78
190,ST KITT N A,0.00,0.00,0.00,0.00,0.00
191,ST LUCIA,0.57,0.00,0.61,0.00,7.78
192,ST VINCENT,0.02,0.00,0.00,0.00,0.00
193,STATE OF PALEST,1.19,0.00,0.74,0.00,-37.28
194,SUDAN,742.63,0.14,396.75,0.08,-46.57
195,SURINAME,89.39,0.02,55.07,0.01,-38.40
196,SWAZILAND,9.60,0.00,7.03,0.00,-26.76
197,SWEDEN,1326.85,0.26,1114.48,0.23,-16.01
198,SWITZERLAND,18087.58,3.52,16899.89,3.56,-6.57
199,SYRIA,14.17,0.00,15.34,0.00,8.25
200,TAIWAN,4577.25,0.89,4046.23,0.85,-11.60
201,TAJIKISTAN,4.24,0.00,0.29,0.00,-93.12
202,TANZANIA REP,903.47,0.18,1023.47,0.22,13.28
203,THAILAND,7441.81,1.45,6788.38,1.43,-8.78
204,TOGO,303.93,0.06,383.54,0.08,26.20
205,TOKELAU IS,0.02,0.00,0.08,0.00,349.42
206,TONGA,0.05,0.00,0.00,0.00,0.00
207,TRINIDAD,195.37,0.04,84.42,0.02,-56.79
208,TUNISIA,137.87,0.03,131.13,0.03,-4.89
209,TURKEY,2388.26,0.46,2116.56,0.45,-11.38
210,TURKMENISTAN,20.63,0.00,3.99,0.00,-80.66
211,TURKS C IS,0.00,0.00,0.01,0.00,0.00
212,TUVALU,0.00,0.00,0.00,0.00,0.00
213,U ARAB EMTS,29785.33,5.79,30256.65,6.37,1.58
214,U K,7561.93,1.47,6712.63,1.41,-11.23
215,U S A,35549.48,6.92,35819.87,7.55,0.76
216,UGANDA,23.06,0.00,33.98,0.01,47.36
217,UKRAINE,2341.03,0.46,2060.79,0.43,-11.97
218,UNSPECIFIED,89.74,0.02,123.49,0.03,37.61
219,URUGUAY,42.96,0.01,57.24,0.01,33.23
220,US MINOR OUTLYING ISLANDS ,0.08,0.00,0.40,0.00,403.88
221,UZBEKISTAN,126.73,0.02,66.85,0.01,-47.25
222,VANUATU REP,0.00,0.00,0.26,0.00,0.00
223,VATICAN CITY,0.09,0.00,0.18,0.00,105.39
224,VENEZUELA,7258.95,1.41,6057.01,1.28,-16.56
225,VIETNAM SOC REP,7192.23,1.40,7283.42,1.53,1.27
226,VIRGIN IS US,0.76,0.00,7.50,0.00,889.54
227,WALLIS F IS,0.00,0.00,0.00,0.00,0.00
228,YEMEN REPUBLC,11.77,0.00,22.73,0.00,93.07
229,ZAMBIA,510.50,0.10,843.32,0.18,65.19
230,ZIMBABWE,7.79,0.00,13.59,0.00,74.38
0,India's Total Import,514078.42,0.00,474709.28,0.00,-7.66
232,UZBEKISTAN,201.41,0.06,180.21,0.06,-10.53
233,VANUATU REP,1.97,0.00,2.42,0.00,22.48
234,VATICAN CITY,0.03,0.00,0.03,0.00,16.91
235,VENEZUELA,164.77,0.05,339.71,0.11,106.17
236,VIETNAM SOC REP,6507.38,1.97,5059.90,1.61,-22.24
237,VIRGIN IS US,42.50,0.01,81.40,0.03,91.52
238,WALLIS F IS,0.00,0.00,0.02,0.00,0.00
239,YEMEN REPUBLC,741.32,0.22,721.25,0.23,-2.71
240,ZAMBIA,319.05,0.10,247.64,0.08,-22.38
241,ZIMBABWE,181.72,0.06,161.13,0.05,-11.33
0,India's Total Export,330078.09,0.00,313361.04,0.00,-5.06